id,identifier,species_id,height,weight,base_experience,order,is_default
2,ivysaur,2,10,130,142,2.0,1
23,ekans,23,20,69,58,32.0,1
24,arbok,24,35,650,157,33.0,1
43,oddish,43,5,54,64,76.0,1
59,arcanine,59,19,1550,194,98.0,1
63,abra,63,9,195,62,103.0,1
65,alakazam,65,15,480,250,105.0,1
95,onix,95,88,2100,77,151.0,1
101,electrode,101,12,666,172,159.0,1
102,exeggcute,102,4,25,65,160.0,1
103,exeggutor,103,20,1200,186,161.0,1
125,electabuzz,125,11,300,172,202.0,1
133,eevee,133,3,65,65,215.0,1
138,omanyte,138,4,75,71,228.0,1
139,omastar,139,10,350,173,229.0,1
142,aerodactyl,142,18,590,180,232.0,1
144,articuno,144,17,554,290,236.0,1
168,ariados,168,11,335,140,265.0,1
174,igglybuff,174,3,10,42,70.0,1
181,ampharos,181,14,615,230,275.0,1
184,azumarill,184,8,285,210,279.0,1
190,aipom,190,8,115,72,285.0,1
196,espeon,196,9,265,184,220.0,1
197,umbreon,197,10,270,184,221.0,1
201,unown,201,5,50,118,297.0,1
217,ursaring,217,18,1258,175,315.0,1
224,octillery,224,9,285,168,324.0,1
239,elekid,239,6,235,72,201.0,1
244,entei,244,21,1980,290,338.0,1
295,exploud,295,15,840,245,398.0,1
298,azurill,298,2,20,38,277.0,1
304,aron,304,4,600,66,409.0,1
306,aggron,306,21,3600,265,411.0,1
309,electrike,309,6,152,59,416.0,1
314,illumise,314,6,177,151,422.0,1
334,altaria,334,11,206,172,446.0,1
347,anorith,347,7,125,71,460.0,1
348,armaldo,348,15,682,173,461.0,1
359,absol,359,12,470,163,478.0,1
392,infernape,392,12,550,240,523.0,1
395,empoleon,395,17,845,239,526.0,1
424,ambipom,424,12,203,169,286.0,1
460,abomasnow,460,22,1355,173,585.0,1
466,electivire,466,18,1386,270,203.0,1
480,uxie,480,3,3,290,593.0,1
482,azelf,482,3,3,290,595.0,1
493,arceus,493,32,3200,324,608.0,1
500,emboar,500,16,1500,238,615.0,1
501,oshawott,501,5,59,62,616.0,1
521,unfezant,521,12,290,244,636.0,1
530,excadrill,530,7,404,178,645.0,1
531,audino,531,11,310,390,646.0,1
566,archen,566,5,95,71,688.0,1
567,archeops,567,14,320,177,689.0,1
587,emolga,587,4,50,150,709.0,1
589,escavalier,589,10,330,173,711.0,1
591,amoonguss,591,6,105,162,713.0,1
594,alomomola,594,12,316,165,716.0,1
603,eelektrik,603,12,220,142,725.0,1
604,eelektross,604,21,805,232,726.0,1
605,elgyem,605,5,90,67,727.0,1
610,axew,610,6,180,64,732.0,1
617,accelgor,617,8,253,173,739.0,1
677,espurr,677,3,35,71,810.0,1
681,aegislash-shield,681,17,530,250,815.0,1
683,aromatisse,683,8,155,162,818.0,1
686,inkay,686,4,35,58,821.0,1
698,amaura,698,13,252,72,833.0,1
699,aurorus,699,27,2250,104,834.0,1
713,avalugg,713,20,5050,180,853.0,1
727,incineroar,727,18,830,265,873.0,1
741,oricorio-baile,741,6,34,167,889.0,1
752,araquanid,752,18,820,159,908.0,1
765,oranguru,765,15,760,172,924.0,1
818,inteleon,818,19,452,265,999.0,1
826,orbeetle,826,4,408,253,1007.0,1
830,eldegoss,830,5,25,161,1011.0,1
840,applin,840,2,5,52,1021.0,1
842,appletun,842,4,130,170,1023.0,1
846,arrokuda,846,5,10,56,1029.0,1
859,impidimp,859,4,55,53,1043.0,1
862,obstagoon,862,16,460,260,1046.0,1
869,alcremie,869,3,5,173,1053.0,1
875,eiscue-ice,875,14,890,165,1059.0,1
876,indeedee-male,876,9,280,166,1061.0,1
881,arctozolt,881,23,1500,177,1068.0,1
883,arctovish,883,20,1750,177,1070.0,1
890,eternatus,890,200,9500,345,1079.0,1
892,urshifu-single-strike,892,19,1050,275,1082.0,1
901,ursaluna,901,24,2900,275,,1
904,overqwil,904,25,605,179,,1
905,enamorus-incarnate,905,16,480,116,,1
916,oinkologne-male,916,10,1200,171,916.0,1
930,arboliva,930,14,482,255,937.0,1
936,armarouge,936,15,850,263,1004.0,1
956,espathra,956,19,900,168,927.0,1
968,orthworm,968,25,3100,240,944.0,1
979,annihilape,979,12,560,268,1010.0,1
990,iron-treads,990,9,2400,285,986.0,1
991,iron-bundle,991,6,110,285,992.0,1
992,iron-hands,992,18,3807,285,989.0,1
993,iron-jugulis,993,13,1110,285,990.0,1
994,iron-moth,994,12,360,285,988.0,1
995,iron-thorns,995,16,3030,285,991.0,1
997,arctibax,997,8,300,148,950.0,1
1006,iron-valiant,1006,14,350,295,993.0,1
1010,iron-leaves,1010,15,1250,295,1094.0,1
1014,okidogi,1014,18,922,278,1098.0,1
1017,ogerpon,1017,12,398,275,1101.0,1
1018,archaludon,1018,20,600,300,1102.0,1
1022,iron-boulder,1022,15,1625,295,1106.0,1
1023,iron-crown,1023,16,1560,295,1107.0,1
10026,aegislash-blade,681,17,530,250,816.0,0
10037,alakazam-mega,65,12,480,270,106.0,0
10042,aerodactyl-mega,142,21,790,215,233.0,0
10045,ampharos-mega,181,14,615,275,276.0,0
10053,aggron-mega,306,22,3950,284,412.0,0
10057,absol-mega,359,12,490,198,479.0,0
10060,abomasnow-mega,460,27,1850,208,586.0,0
10067,altaria-mega,334,15,206,207,447.0,0
10069,audino-mega,531,15,320,425,647.0,0
10114,exeggutor-alola,103,109,4156,186,162.0,0
10123,oricorio-pom-pom,741,6,34,167,890.0,0
10124,oricorio-pau,741,6,34,167,891.0,0
10125,oricorio-sensu,741,6,34,167,892.0,0
10153,araquanid-totem,752,31,2175,159,909.0,0
10159,eevee-starter,133,3,65,87,216.0,0
10169,articuno-galar,144,17,509,290,237.0,0
10185,eiscue-noice,875,14,890,165,1060.0,0
10186,indeedee-female,876,9,280,166,1062.0,0
10190,eternatus-eternamax,890,1000,0,563,1080.0,0
10191,urshifu-rapid-strike,892,19,1050,275,1083.0,0
10205,eevee-gmax,133,180,10000,65,,0
10211,inteleon-gmax,818,400,10000,265,,0
10213,orbeetle-gmax,826,140,10000,253,,0
10217,appletun-gmax,842,240,10000,170,,0
10223,alcremie-gmax,869,300,10000,173,,0
10226,urshifu-single-strike-gmax,892,290,10000,275,,0
10227,urshifu-rapid-strike-gmax,892,260,10000,275,,0
10230,arcanine-hisui,59,20,1680,194,,0
10232,electrode-hisui,101,12,710,172,,0
10243,avalugg-hisui,713,14,2624,180,,0
10249,enamorus-therian,905,16,480,116,,0
10254,oinkologne-female,916,10,1200,171,,0
10272,ursaluna-bloodmoon,901,24,2900,275,,0
10273,ogerpon-wellspring-mask,1017,12,398,275,,0
10274,ogerpon-hearthflame-mask,1017,12,398,275,,0
10275,ogerpon-cornerstone-mask,1017,12,398,275,,0
