id,identifier,species_id,height,weight,base_experience,order,is_default
2,ivysaur,2,10,130,142.0,2.0,1.0
3,venusaur,3,20,1000,263.0,3.0,1.0
4,charmander,4,6,85,62.0,5.0,1.0
5,charmeleon,5,11,190,142.0,6.0,1.0
6,charizard,6,17,905,267.0,7.0,1.0
7,squirtle,7,5,90,63.0,10.0,1.0
8,wartortle,8,10,225,142.0,11.0,1.0
9,blastoise,9,16,855,265.0,12.0,1.0
10,caterpie,10,3,29,39.0,14.0,1.0
11,metapod,11,7,99,72.0,15.0,1.0
12,butterfree,12,11,320,198.0,16.0,1.0
13,weedle,13,3,32,39.0,17.0,1.0
14,kakuna,14,6,100,72.0,18.0,1.0
15,beedrill,15,10,295,178.0,19.0,1.0
16,pidgey,16,3,18,50.0,21.0,1.0
17,pidgeotto,17,11,300,122.0,22.0,1.0
18,pidgeot,18,15,395,216.0,23.0,1.0
19,rattata,19,3,35,51.0,25.0,1.0
20,raticate,20,7,185,145.0,27.0,1.0
21,spearow,21,3,20,52.0,30.0,1.0
22,fearow,22,12,380,155.0,31.0,1.0
23,ekans,23,20,69,58.0,32.0,1.0
24,arbok,24,35,650,157.0,33.0,1.0
25,pikachu,25,4,60,112.0,35.0,1.0
26,raichu,26,8,300,243.0,51.0,1.0
27,sandshrew,27,6,120,60.0,53.0,1.0
28,sandslash,28,10,295,158.0,55.0,1.0
29,nidoran-f,29,4,70,55.0,57.0,1.0
30,nidorina,30,8,200,128.0,58.0,1.0
31,nidoqueen,31,13,600,253.0,59.0,1.0
32,nidoran-m,32,5,90,55.0,60.0,1.0
33,nidorino,33,9,195,128.0,61.0,1.0
34,nidoking,34,14,620,253.0,62.0,1.0
35,clefairy,35,6,75,113.0,64.0,1.0
36,clefable,36,13,400,242.0,65.0,1.0
37,vulpix,37,6,99,60.0,66.0,1.0
38,ninetales,38,11,199,177.0,68.0,1.0
39,jigglypuff,39,5,55,95.0,71.0,1.0
40,wigglytuff,40,10,120,218.0,72.0,1.0
41,zubat,41,8,75,49.0,73.0,1.0
42,golbat,42,16,550,159.0,74.0,1.0
43,oddish,43,5,54,64.0,76.0,1.0
44,gloom,44,8,86,138.0,77.0,1.0
45,vileplume,45,12,186,245.0,78.0,1.0
