id,identifier,species_id,height,weight,base_experience,order,is_default
1,Bulbasaur,1,7,69,64,1.0,1
2,Ivysaur,2,10,130,142,2.0,1
3,Venusaur,3,20,1000,263,3.0,1
4,Charmander,4,6,85,62,5.0,1
5,Charmeleon,5,11,190,142,6.0,1
6,Charizard,6,17,905,267,7.0,1
7,Squirtle,7,5,90,63,10.0,1
8,Wartortle,8,10,225,142,11.0,1
9,Blastoise,9,16,855,265,12.0,1
10,Caterpie,10,3,29,39,14.0,1
11,Metapod,11,7,99,72,15.0,1
12,Butterfree,12,11,320,198,16.0,1
13,Weedle,13,3,32,39,17.0,1
14,Kakuna,14,6,100,72,18.0,1
15,Beedrill,15,10,295,178,19.0,1
16,Pidgey,16,3,18,50,21.0,1
17,Pidgeotto,17,11,300,122,22.0,1
18,Pidgeot,18,15,395,216,23.0,1
19,Rattata,19,3,35,51,25.0,1
20,Raticate,20,7,185,145,27.0,1
21,Spearow,21,3,20,52,30.0,1
22,Fearow,22,12,380,155,31.0,1
23,Ekans,23,20,69,58,32.0,1
24,Arbok,24,35,650,157,33.0,1
25,Pikachu,25,4,60,112,35.0,1
26,Raichu,26,8,300,243,51.0,1
27,Sandshrew,27,6,120,60,53.0,1
28,Sandslash,28,10,295,158,55.0,1
29,Nidoran F,29,4,70,55,57.0,1
30,Nidorina,30,8,200,128,58.0,1
31,Nidoqueen,31,13,600,253,59.0,1
32,Nidoran M,32,5,90,55,60.0,1
33,Nidorino,33,9,195,128,61.0,1
34,Nidoking,34,14,620,253,62.0,1
35,Clefairy,35,6,75,113,64.0,1
36,Clefable,36,13,400,242,65.0,1
37,Vulpix,37,6,99,60,66.0,1
38,Ninetales,38,11,199,177,68.0,1
39,Jigglypuff,39,5,55,95,71.0,1
40,Wigglytuff,40,10,120,218,72.0,1
41,Zubat,41,8,75,49,73.0,1
42,Golbat,42,16,550,159,74.0,1
43,Oddish,43,5,54,64,76.0,1
44,Gloom,44,8,86,138,77.0,1
45,Vileplume,45,12,186,245,78.0,1
46,Paras,46,3,54,57,80.0,1
47,Parasect,47,10,295,142,81.0,1
48,Venonat,48,10,300,61,82.0,1
49,Venomoth,49,15,125,158,83.0,1
50,Diglett,50,2,8,53,84.0,1
51,Dugtrio,51,7,333,149,86.0,1
52,Meowth,52,4,42,58,88.0,1
53,Persian,53,10,320,154,91.0,1
54,Psyduck,54,8,196,64,93.0,1
55,Golduck,55,17,766,175,94.0,1
56,Mankey,56,5,280,61,95.0,1
57,Primeape,57,10,320,159,96.0,1
58,Growlithe,58,7,190,70,97.0,1
